1,"푸들 (Poodle)","푸들은 독일에서 기원한 견종이지만, 현재 우리가 알고 있는 푸들의 모습과 특성은 프랑스에서 완성되었습니다. 초기에는 주로 물에서 사냥을 돕기 위한 수렵견으로 사용되었습니다.","푸들의 털은 곱슬곱슬하며 지속적으로 자라는 특성을 가지고 있어, 일반적인 털갈이로 인한 털빠짐이 거의 없고 푸들은 매우 활동적이고 에너지가 넘치는 견종입니다.","푸들은 새로운 명령과 트릭을 배우는 데 뛰어난 능력을 가지고 있고 푸들은 훈련에 대한 반응이 매우 좋습니다. 이들은 명령을 빠르게 배우며, 일관된 훈련을 통해 다양한 기술과 행동을 익힐 수 있습니다.","푸들은 지능 순위에서 두 번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
2,"말티즈 (Maltese)","말티즈는 지중해의 몰타 섬에서 기원한 견종으로, 고대부터 애완견으로 사랑받아 왔습니다. 특히 고대 그리스와 로마에서 귀족들이 애완견으로 길렀던 것으로 알려져 있습니다.","말티즈는 소형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지고 있습니다. 부드러운 하얀 털을 가지고 있으며, 알레르기를 유발할 가능성이 적습니다.","말티즈는 애정이 많고 온순하며 활발한 성격을 가지고 있습니다. 가족과의 유대감이 강하고, 낯선 사람에게도 친근하게 다가갑니다. 이들은 주인의 무릎 위에 앉아 있는 것을 좋아합니다.","말티즈는 지능 순위에서 58번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
3,"포메라니안 (Pomeranian)","포메라니안은 독일과 폴란드의 포메라니아 지방에서 기원한 견종으로, 스피츠 계열에 속합니다. 원래는 중형견이었으나, 점차 소형화되었습니다.","포메라니안은 소형견으로 털빠짐이 많고, 높은 활동력을 가지며, 두꺼운 이중모를 가지고 있습니다. 이들의 털은 주기적으로 손질해줘야 합니다.","포메라니안은 활발하고 호기심이 많으며 용감한 성격을 가지고 있습니다. 이들은 매우 똑똑하고 주인의 주의를 끌기 좋아하며, 경계심이 많아 훌륭한 경비견이 되기도 합니다.","포메라니안은 지능 순위에서 23번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
4,"시츄 (Shih Tzu)","시츄는 티베트에서 기원하여 중국에서 발전한 견종으로, 불교 사찰에서 기르던 개로 유명합니다. 중국 황실에서도 귀하게 여겨졌으며, \"사자견\"이라는 별명으로 불리기도 했습니다.","시츄는 소형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지며, 길고 부드러운 털을 가지고 있습니다. 정기적인 빗질과 손질이 필요합니다.","시츄는 친근하고 온순하며 고집이 센 성격을 가지고 있습니다. 가족과 잘 지내며, 낯선 사람에게도 비교적 친절합니다. 이들은 독립적인 성향이 강하고, 자신의 영역을 중요시합니다.","시츄는 지능 순위에서 67번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
5,"요크셔 테리어 (Yorkshire Terrier)","요크셔 테리어는 영국의 요크셔 지방에서 기원한 견종으로, 원래는 쥐잡이 개로 사용되었습니다. 산업혁명 시대에 노동자들이 쥐를 잡기 위해 키운 견종이지만, 점차 애완견으로 인기를 끌게 되었습니다.","요크셔 테리어는 소형견으로 털빠짐이 적고, 높은 활동력을 가지며, 부드럽고 긴 털을 가지고 있습니다. 이들의 털은 사람의 머리카락과 비슷한 성질을 가지고 있어 알레르기 유발 가능성이 낮습니다.","요크셔 테리어는 용감하고 활발하며 애정이 많은 성격을 가지고 있습니다. 이들은 작은 체구에도 불구하고 대담하며, 주인의 주의를 끄는 것을 좋아합니다. 또한 매우 영리하고 훈련이 잘 됩니다.","요크셔 테리어는 지능 순위에서 27번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
6,"비숑 프리제 (Bichon Frise)","비숑 프리제는 지중해 연안 지역에서 기원한 견종으로, 원래는 선원들이 데리고 다니던 개였습니다. 비숑 프리제는 귀족과 부유층의 사랑을 받으며 애완견으로 자리 잡았습니다.","비숑 프리제는 소형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지며, 곱슬거리는 하얀 털을 가지고 있습니다. 이들의 털은 알레르기를 유발할 가능성이 적으며, 주기적인 손질이 필요합니다.","비숑 프리제는 명랑하고 사교적이며 훈련이 잘 되는 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 아이들과도 잘 어울립니다. 또한 매우 영리하고 쉽게 훈련이 가능합니다.","비숑 프리제는 지능 순위에서 45번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
7,"닥스훈트 (Dachshund)","닥스훈트는 독일에서 기원한 견종으로, 주로 오소리와 같은 굴 속에 사는 동물을 사냥하기 위해 개발되었습니다. \"닥스훈트\"라는 이름은 독일어로 \"오소리 개\"를 의미합니다.","닥스훈트는 소형견으로 털빠짐이 중간 정도이며, 중간 정도의 활동력을 가지며, 짧고 긴 체형을 가지고 있습니다. 이들은 짧은 다리와 긴 몸통이 특징입니다.","닥스훈트는 용감하고 호기심이 많으며 사냥 본능이 강한 성격을 가지고 있습니다. 이들은 독립적이고 고집이 세며, 자신이 원하는 것을 얻기 위해 노력합니다. 그러나 가족과의 유대감이 강하며 애정이 많습니다.","닥스훈트는 지능 순위에서 49번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
8,"골든 리트리버 (Golden Retriever)","골든 리트리버는 스코틀랜드에서 기원한 견종으로, 사냥감을 회수하는 데 특화된 견종입니다. 19세기 중반에 처음으로 개발되었으며, 뛰어난 사냥 능력과 온순한 성격 덕분에 널리 사랑받고 있습니다.","골든 리트리버는 대형견으로 털빠짐이 많고, 높은 활동력을 가지며, 부드럽고 황금빛 털을 가지고 있습니다. 이들의 털은 주기적으로 빗질해주어야 하며, 규칙적인 운동이 필요합니다.","골든 리트리버는 친근하고 온순하며 충성심이 강한 성격을 가지고 있습니다. 이들은 매우 사교적이고, 가족과 잘 지내며, 아이들과도 좋은 관계를 맺습니다. 또한 훈련이 잘 되며, 다양한 작업에서 뛰어난 능력을 발휘합니다.","골든 리트리버는 지능 순위에서 4번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
9,"진돗개 (Jindo)","진돗개는 한국의 진도에서 기원한 견종으로, 충성심과 용맹함으로 유명합니다. 진돗개는 오래전부터 한국의 전통적인 가정에서 반려견과 사냥견으로 길러졌으며, 1962년에는 대한민국의 천연기념물로 지정되었습니다.","진돗개는 중형견으로 털빠짐이 중간 정도이며, 높은 활동력을 가지며, 단단한 체격을 가지고 있습니다. 이들은 짧은 이중모를 가지고 있으며, 주기적인 털갈이를 합니다.","진돗개는 충성심이 강하고 독립적이며 용감한 성격을 가지고 있습니다. 이들은 한 명의 주인에게 깊은 애정을 보이며, 가족을 보호하려는 본능이 강합니다. 또한 매우 똑똑하고 학습 능력이 뛰어나지만, 고집이 세기 때문에 일관된 훈련이 필요합니다.","진돗개는 지능 순위에서 53번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
10,"사모예드 (Samoyed)","사모예드는 시베리아에서 기원한 견종으로, 유목민인 사모예드족이 썰매견, 사냥견, 목양견으로 사용하던 견종입니다. 이들은 추운 기후에서 일하기 위해 개발되었으며, 오늘날에는 애완견으로도 널리 사랑받고 있습니다.","사모예드는 대형견으로 털빠짐이 많고, 높은 활동력을 가지며, 두꺼운 흰 털을 가지고 있습니다. 이들의 털은 매우 두껍고 따뜻하여 추운 기후에 적합합니다. 주기적인 털 손질이 필요합니다.","사모예드는 친근하고 온순하며 활발한 성격을 가지고 있습니다. 이들은 사람과의 교감을 매우 좋아하며, 다른 동물들과도 잘 어울립니다. 또한 매우 영리하고 훈련에 잘 반응하지만, 독립적인 성향도 가지고 있습니다.","사모예드는 지능 순위에서 33번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","-10°C ~ 10°C"
11,"코커 스패니얼 (Cocker Spaniel)","코커 스패니얼은 영국에서 기원한 견종으로, 주로 조류 사냥을 돕기 위해 개발되었습니다. 19세기에 미국으로 건너가면서 미국 코커 스패니얼과 영국 코커 스패니얼로 나뉘게 되었습니다.","코커 스패니얼은 중형견으로 털빠짐이 중간 정도이며, 높은 활동력을 가지며, 부드럽고 윤기 있는 긴 털을 가지고 있습니다. 이들의 털은 주기적인 빗질과 손질이 필요합니다.","코커 스패니얼은 친근하고 온순하며 활발한 성격을 가지고 있습니다. 이들은 가족과 잘 지내며, 아이들과도 좋은 관계를 맺습니다. 또한 매우 영리하고 훈련이 잘 되며, 사람과의 교감을 매우 중요시합니다.","코커 스패니얼은 지능 순위에서 20번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
12,"치와와 (Chihuahua)","치와와는 멕시코에서 기원한 견종으로, 세계에서 가장 작은 견종 중 하나입니다. 고대 아스텍 문명에서 신성한 동물로 여겨졌으며, 19세기 말 미국으로 들어오면서 널리 알려지게 되었습니다.","치와와는 소형견으로 털빠짐이 적고, 중간 정도의 활동력을 가지고 있으며, 매끄러운 단모 또는 부드러운 장모를 가지고 있습니다. 이들은 다양한 색상과 패턴을 가지고 있습니다.","치와와는 용감하고 활발하며 충성심이 강한 성격을 가지고 있습니다. 이들은 자신감이 넘치며, 주인을 매우 따르며 보호하려는 본능이 강합니다. 또한 낯선 사람과 다른 동물에게 경계심을 보일 수 있습니다.","치와와는 지능 순위에서 67번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","20°C ~ 30°C"
13,"래브라도 리트리버 (Labrador Retriever)","래브라도 리트리버는 캐나다 뉴펀들랜드와 래브라도 지역에서 기원한 견종으로, 주로 어부들이 그물에서 물고기를 회수하는 데 사용되었습니다. 19세기 초반 영국으로 전해지면서 오늘날의 형태로 발전했습니다.","래브라도 리트리버는 대형견으로 털빠짐이 많고, 높은 활동력을 가지며, 짧고 밀도 있는 이중모를 가지고 있습니다. 이들의 털은 방수 기능이 뛰어나며, 주기적인 빗질이 필요합니다.","래브라도 리트리버는 친근하고 온순하며 충성심이 강한 성격을 가지고 있습니다. 이들은 매우 사교적이고, 가족과 잘 지내며, 아이들과도 좋은 관계를 맺습니다. 또한 매우 영리하고 훈련이 잘 되며, 다양한 작업에서 뛰어난 능력을 발휘합니다.","래브라도 리트리버는 지능 순위에서 7번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","10°C ~ 25°C"
14,"불독 (Bulldog)","불독은 영국에서 기원한 견종으로, 원래는 소와 싸우는 \"불베이팅\"이라는 잔인한 스포츠에 사용되었습니다. 그러나 19세기 중반에 이러한 스포츠가 금지된 이후, 불독은 애완견으로서의 역할을 하게 되었습니다.","불독은 중형견으로 털빠짐이 적고, 낮은 활동력을 가지며, 짧고 주름진 피부와 튼튼한 체격을 가지고 있습니다. 이들은 짧은 코와 넓은 가슴, 강한 턱을 특징으로 합니다.","불독은 온순하고 충성심이 강하며 고집이 센 성격을 가지고 있습니다. 이들은 가족과의 유대감이 강하고, 아이들과도 잘 지내지만, 낯선 사람이나 동물에게는 경계심을 보일 수 있습니다. 또한 매우 인내심이 강하고 보호 본능이 강합니다.","불독은 지능 순위에서 77번째로 높은 위치를 차지하고 있습니다. 이는 미국의 심리학자 스탠리 코렌 (Stanley Coren)의 연구에 기반한 결과입니다.","15°C ~ 25°C"
